TiO2	UTS 
0	373.00
0	365.35
0	364.37
0	388.29
0	383.82
0	374.97
0.5	414.56
0.5	409.86
0.5	429.33
0.5	409.64
0.5	427.78
0.5	418.24
1	446.24
1	442.81
1	401.23
1	433.04
1	440.07
1	428.31
2	459.69
2	456.53
2	449.41
2	439.44
2	443.91
2	447.32
0.00	388.79
0.10	392.2011
0.2	395.6122
0.30	399.0233
0.40	402.4344
0.5	405.8455
0.60	409.2566
0.70	412.6677
0.8	416.0788
0.90	419.4899
1.00	422.901
1.1	426.3121
1.20	429.7232
1.30	433.1343
1.4	436.5454
1.50	439.9565
1.60	443.3676
1.7	446.7787
1.80	450.1898
1.90	453.6009
2	457.012
