TiO2	UTS
0	219.26
0	204.68
0	220.74
0	199.48
0	203.78
0	208.62
0	214.43
0.5	240.68
0.5	233.90
0.5	230.73
0.5	233.61
0.5	233.82
0.5	229.11
0.5	233.64
1	236.75
1	249.10
1	241.70
1	239.66
1	231.98
1	251.62
1	241.80
2	230.07
2	235.02
2	239.50
2	232.75
2	221.00
2	219.22
2	232.93
0.00	214.65
0.10	219.07274
0.2	223.12576
0.30	226.80906
0.40	230.12264
0.5	233.0665
0.60	235.64064
0.70	237.84506
0.8	239.67976
0.90	241.14474
1.00	242.24
1.1	242.96554
1.20	243.32136
1.30	243.30746
1.4	242.92384
1.50	242.1705
1.60	241.04744
1.7	239.55466
1.80	237.69216
1.90	235.45994
2	232.858

